Andorra la Vella,42.5000,1.5000,Andorra,AD,Andorra la Vella,primary,22151,22151
Santa Coloma,42.4939,1.4977,Andorra,AD,Andorra la Vella,,3002,3002
Escaldes-Engordany,42.5085,1.5385,Andorra,AD,Escaldes-Engordany,admin,,
Encamp,42.5167,1.5667,Andorra,AD,Encamp,admin,,
La Massana,42.5434,1.5148,Andorra,AD,La Massana,admin,,
Sant Julià de Lòria,42.4664,1.4933,Andorra,AD,Sant Julià de Lòria,admin,,
Ordino,42.5550,1.5331,Andorra,AD,Ordino,admin,,
Canillo,42.5670,1.5981,Andorra,AD,Canillo,admin,,
La Comella,42.5012,1.5288,Andorra,AD,Andorra la Vella,,,
Engordany,42.5116,1.5414,Andorra,AD,Escaldes-Engordany,,,
Els Vilars,42.5164,1.5336,Andorra,AD,Escaldes-Engordany,,,
La Plana,42.5047,1.5386,Andorra,AD,Escaldes-Engordany,,,
Ràmio,42.4973,1.5740,Andorra,AD,Escaldes-Engordany,,,
Engolasters,42.5111,1.5598,Andorra,AD,Escaldes-Engordany,,,
Vila,42.5315,1.5698,Andorra,AD,Encamp,,,
Les Bons,42.5333,1.5833,Andorra,AD,Encamp,,,
El Tremat,42.5335,1.5806,Andorra,AD,Encamp,,,
Xixerella,42.5500,1.4833,Andorra,AD,La Massana,,,
Juberri,42.4400,1.5067,Andorra,AD,Sant Julià de Lòria,,,
Llorts,42.5964,1.5266,Andorra,AD,Ordino,,,
El Serrat,42.6181,1.5382,Andorra,AD,Ordino,,,
Sispony,42.5332,1.5152,Andorra,AD,La Massana,,,
Escàs,42.5464,1.5090,Andorra,AD,La Massana,,,
Puiol del Piu,42.5667,1.5000,Andorra,AD,La Massana,,,
Arinsal,42.5723,1.4838,Andorra,AD,La Massana,,,
El Pui,42.5473,1.5144,Andorra,AD,La Massana,,,
L’Aldosa,42.5430,1.5237,Andorra,AD,La Massana,,,
Pal,42.5454,1.4747,Andorra,AD,La Massana,,,
Erts,42.5611,1.4960,Andorra,AD,La Massana,,,
Mas de Ribafeta,42.5693,1.4886,Andorra,AD,La Massana,,,
Anyós,42.5341,1.5243,Andorra,AD,La Massana,,,
