N’Djamena,12.1100,15.0500,Chad,TD,Ville de N’Djaména,primary,1092066,1092066
Moundou,8.5667,16.0833,Chad,TD,Logone Occidental,admin,142462,142462
Sarh,9.1500,18.3833,Chad,TD,Moyen-Chari,admin,108061,108061
Kelo,9.3171,15.8000,Chad,TD,Tandjilé,,96224,42533
Yao,12.8508,17.5608,Chad,TD,Batha,,91507,91507
Abéché,13.8331,20.8347,Chad,TD,Ouaddaï,admin,76492,76492
Goz-Beida,12.2236,21.4144,Chad,TD,Sila,admin,66107,66107
Fianga,9.9153,15.1375,Chad,TD,Mayo-Kébbi Est,,42606,42606
Koumra,8.9000,17.5500,Chad,TD,Mandoul,admin,39852,39852
Pala Oua,9.3500,14.9667,Chad,TD,Mayo-Kébbi Ouest,,38975,38975
Am-Timan,11.0333,20.2833,Chad,TD,Salamat,admin,38261,38261
Doba,8.6500,16.8500,Chad,TD,Logone Oriental,admin,29597,24336
Bongor,10.2806,15.3722,Chad,TD,Mayo-Kébbi Est,admin,27770,27770
Mongo,12.1837,18.7000,Chad,TD,Guéra,admin,27763,27763
Oum Hadjer,13.2833,19.6833,Chad,TD,Batha,,26136,26136
Ati,13.2139,18.3403,Chad,TD,Batha,admin,20695,20695
Laï,9.4000,16.3000,Chad,TD,Tandjilé,admin,19382,19382
Mao,14.1194,15.3133,Chad,TD,Kanem,admin,19004,19004
Moussoro,13.6333,16.4833,Chad,TD,Barh el Gazel,admin,16349,16349
Faya,17.9300,19.1031,Chad,TD,Borkou,admin,13400,13400
Bol,13.4586,14.7147,Chad,TD,Lac,admin,11700,11700
Biltine,14.5333,20.9167,Chad,TD,Wadi Fira,admin,11000,2365
Massenya,11.4028,16.1700,Chad,TD,Chari-Baguirmi,admin,3680,3680
Fada,17.1833,21.5833,Chad,TD,Ennedi-Ouest,admin,448,448
Pala,9.3646,14.9073,Chad,TD,Mayo-Kébbi Ouest,admin,,
Massakory,13.0000,15.7333,Chad,TD,Hadjer-Lamis,admin,,
Amdjarass,16.0667,22.8354,Chad,TD,Ennedi-Est,admin,,
Bardaï,21.3547,17.0016,Chad,TD,Tibesti,admin,,
