Accra,5.6037,-0.1870,Ghana,GH,Greater Accra,primary,2291352,2291352
Kumasi,6.6833,-1.6167,Ghana,GH,Ashanti,admin,2069350,2069350
Tamale,9.4075,-0.8533,Ghana,GH,Northern,admin,466723,466723
Sekondi,4.9433,-1.7040,Ghana,GH,Western,admin,286248,138872
Obuase,6.2000,-1.6833,Ghana,GH,Ashanti,,180460,180460
Tema,5.6667,-0.0167,Ghana,GH,Greater Accra,,161612,161612
Cape Coast,5.1000,-1.2500,Ghana,GH,Central,admin,143015,135516
Koforidua,6.1000,-0.2667,Ghana,GH,Eastern,admin,127334,127334
Ho,6.6114,0.4703,Ghana,GH,Volta,admin,83715,83715
Wa,10.0667,-2.5000,Ghana,GH,Upper West,admin,78107,75676
Bawku,11.0600,-0.2422,Ghana,GH,Upper East,,73594,56830
Sunyani,7.3360,-2.3360,Ghana,GH,Brong-Ahafo,admin,70299,70299
Bolgatanga,10.7856,-0.8514,Ghana,GH,Upper East,admin,66685,66685
Aflao,6.1188,1.1946,Ghana,GH,Volta,,66546,66546
Nkawkaw,6.5505,-0.7800,Ghana,GH,Eastern,,62667,47162
Hohoe,7.1490,0.4746,Ghana,GH,Volta,,56202,56202
Winneba,5.3500,-0.6333,Ghana,GH,Central,,55331,55331
Berekum,7.4504,-2.5900,Ghana,GH,Brong-Ahafo,,46287,26682
Techiman,7.5905,-1.9395,Ghana,GH,Brong-Ahafo,admin,,
Sefwi Wiawso,6.2058,-2.4894,Ghana,GH,Western,admin,,
Goaso,6.8036,-2.5172,Ghana,GH,Brong-Ahafo,admin,,
Dambai,8.0662,0.1795,Ghana,GH,Volta,admin,,
Nalerigu,10.5273,-0.3698,Ghana,GH,Northern,admin,,
Damongo,9.0830,-1.8188,Ghana,GH,Northern,admin,,
