Port-au-Prince,18.5425,-72.3386,Haiti,HT,Ouest,primary,987310,987310
Carrefour,18.5333,-72.4000,Haiti,HT,Ouest,,511345,511345
Pétion-Ville,18.5098,-72.2856,Haiti,HT,Ouest,,376834,376834
Gonaïves,19.4456,-72.6883,Haiti,HT,Artibonite,admin,324043,324043
Delmas,18.5500,-72.3000,Haiti,HT,Ouest,,284079,284079
Cap-Haïtien,19.7500,-72.2000,Haiti,HT,Nord,admin,190289,190289
Les Cayes,18.2004,-73.7500,Haiti,HT,Sud,admin,175457,70000
Port-de-Paix,19.9500,-72.8333,Haiti,HT,Nord-Ouest,admin,121220,121220
Jacmel,18.2350,-72.5370,Haiti,HT,Sud-Est,admin,33563,33563
Jérémie,18.6339,-74.1184,Haiti,HT,Grand’Anse,admin,30917,30917
Hinche,19.1430,-72.0040,Haiti,HT,Centre,admin,18590,18590
Fort Liberté,19.6656,-71.8448,Haiti,HT,Nord-Est,admin,11465,11465
Miragoâne,18.4411,-73.0883,Haiti,HT,Nippes,admin,,
