Kuwait City,29.3750,47.9800,Kuwait,KW,Al ‘Āşimah,primary,2989000,2989000
Al Jahrā’,29.3375,47.6581,Kuwait,KW,Al Jahrā’,,194193,194193
Abū Ḩulayfah,29.3333,48.0000,Kuwait,KW,Al Aḩmadī,,164212,164212
Al Aḩmadī,29.0769,48.0838,Kuwait,KW,Al Aḩmadī,,68763,68763
Al Wafrah,28.6392,47.9306,Kuwait,KW,Al Aḩmadī,,10017,10017
Al Bida‘,29.3025,48.0869,Kuwait,KW,Mubārak al Kabīr,,,
Al Farwānīyah,29.2775,47.9586,Kuwait,KW,Al Farwānīyah,,,
Al ‘Udaylīyah,29.3000,47.9667,Kuwait,KW,Al Farwānīyah,,,
Abraq Khayţān,29.2925,47.9689,Kuwait,KW,Al Farwānīyah,,,
Al ‘Abbāsīyah,29.2503,47.9311,Kuwait,KW,Al Farwānīyah,,,
Ash Shadādīyah,29.2681,47.8456,Kuwait,KW,Al Jahrā’,,,
Al Quşūr,29.2175,48.0726,Kuwait,KW,Mubārak al Kabīr,,,
An Nijfah,29.2464,48.0758,Kuwait,KW,Mubārak al Kabīr,,,
Mishrif,29.2892,48.0500,Kuwait,KW,Mubārak al Kabīr,,,
Al Massīlah,29.2619,48.0797,Kuwait,KW,Mubārak al Kabīr,,,
Al Funayţīs,29.2253,48.1017,Kuwait,KW,Mubārak al Kabīr,,,
An Nuqayyāt,28.9431,48.1986,Kuwait,KW,Al Aḩmadī,,,
Duwaydāt,28.5828,48.3992,Kuwait,KW,Al Aḩmadī,,,
Al Wafrah,28.5542,48.0531,Kuwait,KW,Al Aḩmadī,,,
Aḑ Ḑibā‘īyah,28.9333,48.1667,Kuwait,KW,Al Aḩmadī,,,
Al Maqwa‘,29.1667,47.9833,Kuwait,KW,Al Aḩmadī,,,
Ar Riqqah,29.1458,48.0947,Kuwait,KW,Al Aḩmadī,,,
Aş Şabāḩīyah,29.1058,48.1081,Kuwait,KW,Al Aḩmadī,,,
Al Qulay‘ah,28.8658,48.2747,Kuwait,KW,Al Aḩmadī,,,
Aţ Ţawīl,28.9786,47.9072,Kuwait,KW,Al Aḩmadī,,,
Manīfah,29.1608,48.0811,Kuwait,KW,Al Aḩmadī,,,
Al Manqaf,29.0961,48.1328,Kuwait,KW,Al Aḩmadī,,,
Al Qurayn,29.2043,48.0757,Kuwait,KW,Al Aḩmadī,,,
Mubārak al Kabīr,29.1898,48.0872,Kuwait,KW,Al Aḩmadī,,,
Al ‘Uqaylah,29.1778,48.0947,Kuwait,KW,Al Aḩmadī,,,
Şubayḩīyah,28.8794,47.9139,Kuwait,KW,Al Aḩmadī,,,
Ash Shu‘aybah,28.9592,48.1345,Kuwait,KW,Al Aḩmadī,,,
Al Khīrān,28.6511,48.3903,Kuwait,KW,Al Aḩmadī,,,
Al Mahbūlah,29.1450,48.1303,Kuwait,KW,Al Aḩmadī,,,
Az Zawr,28.7375,48.3728,Kuwait,KW,Al Aḩmadī,,,
