Antananarivo,-18.9386,47.5214,Madagascar,MG,Antananarivo,primary,2610000,2610000
Antsirabe,-19.8667,47.0333,Madagascar,MG,Antananarivo,minor,257163,257163
Toamasina,-18.1492,49.4023,Madagascar,MG,Toamasina,admin,225116,225116
Fianarantsoa,-21.4333,47.0833,Madagascar,MG,Fianarantsoa,admin,184184,167227
Mahajanga,-15.6700,46.3450,Madagascar,MG,Mahajanga,admin,154657,135660
Toliara,-23.3500,43.6667,Madagascar,MG,Toliara,admin,115319,97237
Antsiranana,-12.2765,49.3115,Madagascar,MG,Antsiranana,admin,82937,69687
Antalaha,-14.8833,50.2833,Madagascar,MG,Antsiranana,,47224,34112
Sambava,-14.2662,50.1666,Madagascar,MG,Antsiranana,minor,43465,31522
Ambatondrazaka,-17.8329,48.4167,Madagascar,MG,Toamasina,minor,43134,40552
Maroantsetra,-15.4333,49.7333,Madagascar,MG,Toamasina,,38046,23859
Morondava,-20.2833,44.2833,Madagascar,MG,Toliara,minor,36803,3234
Marovoay,-16.0995,46.6333,Madagascar,MG,Mahajanga,,31253,1773
Ambanja,-13.6786,48.4522,Madagascar,MG,Antsiranana,,30621,21842
Mananjary,-21.2167,48.3333,Madagascar,MG,Fianarantsoa,,27686,11996
Farafangana,-22.8166,47.8332,Madagascar,MG,Fianarantsoa,minor,24764,5221
Andoany,-13.4000,48.2666,Madagascar,MG,Antsiranana,,22680,18391
Antsohihy,-14.8661,47.9834,Madagascar,MG,Mahajanga,minor,21290,9227
Ihosy,-22.3996,46.1167,Madagascar,MG,Fianarantsoa,minor,16990,10814
Tôlan̈aro,-25.0325,46.9833,Madagascar,MG,Toliara,minor,16818,16818
Maintirano,-18.0666,44.0167,Madagascar,MG,Mahajanga,minor,5925,5925
Maevatanana,-16.9470,46.8292,Madagascar,MG,Mahajanga,minor,,
Fenoarivo Atsinanana,-17.3819,49.4090,Madagascar,MG,Toamasina,minor,,
Miarinarivo,-18.9608,46.9036,Madagascar,MG,Antananarivo,minor,,
Ambovombe,-25.1754,46.0882,Madagascar,MG,Toliara,minor,,
Manakara,-22.1455,48.0080,Madagascar,MG,Fianarantsoa,minor,,
Ambositra,-20.5294,47.2425,Madagascar,MG,Fianarantsoa,minor,,
Tsiroanomandidy,-18.7698,46.0500,Madagascar,MG,Antananarivo,minor,,
