Castries,14.0167,-60.9833,Saint Lucia,LC,Castries,primary,70000,70000
Gros Islet,14.0810,-60.9530,Saint Lucia,LC,Gros-Islet,,21660,21660
Bocage,14.0018,-60.9687,Saint Lucia,LC,Castries,,,
Morne Doudon,14.0099,-60.9724,Saint Lucia,LC,Castries,,,
Vigie,14.0214,-61.0006,Saint Lucia,LC,Castries,,,
Ferrand,13.9839,-60.9821,Saint Lucia,LC,Castries,,,
Ti Rocher,13.9956,-60.9701,Saint Lucia,LC,Castries,,,
Soucis,13.9775,-60.9992,Saint Lucia,LC,Castries,,,
Crown Lands,13.9590,-60.9693,Saint Lucia,LC,Castries,,,
Four Roads Junction,13.9934,-60.9766,Saint Lucia,LC,Castries,,,
L’Abbayée,13.9431,-60.9759,Saint Lucia,LC,Castries,,,
Dubrassay,13.9833,-60.9733,Saint Lucia,LC,Castries,,,
Tourat,13.9736,-60.9967,Saint Lucia,LC,Castries,,,
Incommode,13.9879,-60.9959,Saint Lucia,LC,Castries,,,
Bisee,14.0243,-60.9745,Saint Lucia,LC,Castries,,,
Fond Manger,13.9653,-61.0080,Saint Lucia,LC,Castries,,,
Marc Marc,13.9500,-60.9667,Saint Lucia,LC,Castries,,,
Odsan,13.9742,-60.9846,Saint Lucia,LC,Castries,,,
Combat,13.9884,-60.9466,Saint Lucia,LC,Castries,,,
Trois Piton,13.9886,-60.9723,Saint Lucia,LC,Castries,,,
Deglos,13.9608,-60.9742,Saint Lucia,LC,Castries,,,
Girard,13.9979,-60.9572,Saint Lucia,LC,Castries,,,
Barre Duchaussée,13.9630,-61.0006,Saint Lucia,LC,Castries,,,
Berre Denis,13.9703,-60.9947,Saint Lucia,LC,Castries,,,
Ravine Poisson,13.9323,-60.9742,Saint Lucia,LC,Castries,,,
Vanard,13.9435,-60.9945,Saint Lucia,LC,Castries,,,
Marigot,13.9644,-61.0264,Saint Lucia,LC,Castries,,,
Sarot,13.9333,-60.9833,Saint Lucia,LC,Castries,,,
Morne d’Or,13.9502,-61.0066,Saint Lucia,LC,Castries,,,
La Croix Maingot,13.9657,-61.0058,Saint Lucia,LC,Castries,,,
Morne Ciseaux,13.9443,-61.0031,Saint Lucia,LC,Castries,,,
La Fitte,13.9993,-60.9657,Saint Lucia,LC,Castries,,,
Ticolon,13.9712,-61.0030,Saint Lucia,LC,Castries,,,
Morne Saint Joseph,13.9735,-61.0058,Saint Lucia,LC,Castries,,,
La Belle Vie,13.9910,-61.0117,Saint Lucia,LC,Castries,,,
Perou,13.9561,-61.0097,Saint Lucia,LC,Castries,,,
Bexon,13.9526,-60.9778,Saint Lucia,LC,Castries,,,
Talvern,13.9946,-60.9435,Saint Lucia,LC,Castries,,,
Ciceron,13.9901,-61.0081,Saint Lucia,LC,Castries,,,
Cabiche,14.0040,-60.9478,Saint Lucia,LC,Castries,,,
Babonneau,14.0094,-60.9406,Saint Lucia,LC,Castries,,,
Belair,13.9529,-61.0004,Saint Lucia,LC,Castries,,,
Forestière,13.9795,-60.9597,Saint Lucia,LC,Castries,,,
La Point,13.9833,-61.0333,Saint Lucia,LC,Castries,,,
Fond Cannie,13.9927,-60.9588,Saint Lucia,LC,Castries,,,
Floissac,13.9599,-60.9620,Saint Lucia,LC,Castries,,,
Fond Cacao,13.9962,-60.9509,Saint Lucia,LC,Castries,,,
Guesneau,13.9909,-60.9632,Saint Lucia,LC,Castries,,,
Coolietown,13.9580,-61.0140,Saint Lucia,LC,Castries,,,
La Treille,13.9386,-60.9971,Saint Lucia,LC,Castries,,,
Marigot Bay,13.9638,-61.0260,Saint Lucia,LC,Castries,,,
Union,14.0333,-60.9667,Saint Lucia,LC,Gros-Islet,,,
Almondale,14.0178,-60.9624,Saint Lucia,LC,Castries,,,
Christopher,14.0088,-60.9464,Saint Lucia,LC,Castries,,,
La Croix Chaubourg,14.0123,-60.9422,Saint Lucia,LC,Castries,,,
Balata,14.0140,-60.9560,Saint Lucia,LC,Castries,,,
Bois d’Inde,13.9427,-61.0087,Saint Lucia,LC,Castries,,,
Derrière Lagoon,13.9429,-61.0157,Saint Lucia,LC,Anse-la-Raye,,,
Jean Baptiste,13.9479,-61.0142,Saint Lucia,LC,Castries,,,
Jacmel,13.9495,-61.0148,Saint Lucia,LC,Castries,,,
Pays Perdu,14.0037,-60.9338,Saint Lucia,LC,Gros-Islet,,,
Fond Assor,13.9955,-60.9350,Saint Lucia,LC,Gros-Islet,,,
Resinard,13.9998,-60.9410,Saint Lucia,LC,Castries,,,
Choc,14.0334,-60.9706,Saint Lucia,LC,Castries,,,
En Poix Doux,13.9910,-60.9415,Saint Lucia,LC,Castries,,,
Joyeux,13.7841,-60.9617,Saint Lucia,LC,Vieux-Fort,,,
Plut,13.7760,-60.9611,Saint Lucia,LC,Vieux-Fort,,,
Cacao,13.7792,-60.9429,Saint Lucia,LC,Vieux-Fort,,,
Beauséjour,13.7500,-60.9667,Saint Lucia,LC,Vieux-Fort,,,
La Resource,13.7446,-60.9577,Saint Lucia,LC,Vieux-Fort,,,
Vieux Fort,13.7167,-60.9500,Saint Lucia,LC,Vieux-Fort,,,
Fond Sabot,13.7761,-60.9545,Saint Lucia,LC,Vieux-Fort,,,
Carrière,13.7815,-60.9641,Saint Lucia,LC,Vieux-Fort,,,
Anse Noir,13.7333,-60.9833,Saint Lucia,LC,Laborie,,,
Pierrot,13.7711,-60.9439,Saint Lucia,LC,Vieux-Fort,,,
Coolie Town,13.7724,-60.9680,Saint Lucia,LC,Vieux-Fort,,,
Derrière Morne,13.7430,-60.9609,Saint Lucia,LC,Vieux-Fort,,,
Saint Urbain,13.7608,-60.9439,Saint Lucia,LC,Vieux-Fort,,,
Belle Vue,13.7913,-60.9567,Saint Lucia,LC,Vieux-Fort,,,
Pointe Sable,13.7500,-60.9500,Saint Lucia,LC,Vieux-Fort,,,
La Tourney,13.7372,-60.9571,Saint Lucia,LC,Vieux-Fort,,,
Grace,13.7816,-60.9686,Saint Lucia,LC,Vieux-Fort,,,
La Retraite,13.7568,-60.9668,Saint Lucia,LC,Vieux-Fort,,,
Moule à Chique,13.7133,-60.9474,Saint Lucia,LC,Vieux-Fort,,,
Morne Caillandre,13.7743,-60.9470,Saint Lucia,LC,Vieux-Fort,,,
Augier,13.7632,-60.9789,Saint Lucia,LC,Vieux-Fort,,,
Pomme,13.7594,-60.9807,Saint Lucia,LC,Vieux-Fort,,,
Black Bay,13.7454,-60.9768,Saint Lucia,LC,Vieux-Fort,,,
Cantonement,13.7526,-60.9753,Saint Lucia,LC,Vieux-Fort,,,
Savannes,13.7741,-60.9396,Saint Lucia,LC,Vieux-Fort,,,
Eau Piquant,13.7584,-60.9319,Saint Lucia,LC,Vieux-Fort,,,
Morne Vert,13.7781,-60.9759,Saint Lucia,LC,Vieux-Fort,,,
Durandeau,13.9263,-60.9935,Saint Lucia,LC,Anse-la-Raye,,,
Dame de Traversay,13.9167,-60.9833,Saint Lucia,LC,Anse-la-Raye,,,
Paix Bouche,14.0188,-60.9387,Saint Lucia,LC,Gros-Islet,,,
Monier,14.0234,-60.9377,Saint Lucia,LC,Gros-Islet,,,
De Mailly,13.7965,-60.9515,Saint Lucia,LC,Micoud,,,
Ti Morne,14.0236,-60.9517,Saint Lucia,LC,Gros-Islet,,,
Chassin,13.9924,-60.9264,Saint Lucia,LC,Gros-Islet,,,
Careffe,14.0565,-60.9494,Saint Lucia,LC,Gros-Islet,,,
Vieux Sucreic,14.0495,-60.9461,Saint Lucia,LC,Gros-Islet,,,
