Tunis,36.8008,10.1800,Tunisia,TN,Tunis,primary,1056247,1056247
Sfax,34.7400,10.7600,Tunisia,TN,Sfax,admin,272801,272801
Sousse,35.8333,10.6333,Tunisia,TN,Sousse,admin,221530,221530
Kairouan,35.6833,10.1000,Tunisia,TN,Kairouan,admin,186653,186653
Métouia,33.9600,10.0000,Tunisia,TN,Gabès,,170000,170000
Kebili,33.7050,8.9650,Tunisia,TN,Kébili,admin,163257,163257
Bizerte,37.2744,9.8739,Tunisia,TN,Bizerte,admin,142966,142966
Sidi Bouzid,35.0381,9.4858,Tunisia,TN,Sidi Bouzid,admin,122676,122676
Gabès,33.8814,10.0983,Tunisia,TN,Gabès,admin,116323,116323
Ariana,36.8625,10.1956,Tunisia,TN,L’Ariana,admin,114486,114486
Jendouba,36.5011,8.7803,Tunisia,TN,Jendouba,admin,113116,113116
Gafsa,34.4167,8.7833,Tunisia,TN,Gafsa,admin,111170,111170
Msaken,35.7333,10.5833,Tunisia,TN,Sousse,,110000,110000
Medenine,33.3547,10.5053,Tunisia,TN,Médenine,admin,109409,109409
Béja,36.7256,9.1817,Tunisia,TN,Béja,admin,109299,109299
Kasserine,35.1667,8.8333,Tunisia,TN,Kasserine,admin,108794,108794
Monastir,35.7780,10.8262,Tunisia,TN,Monastir,admin,104535,104535
Hammamet,36.4167,10.6000,Tunisia,TN,Nabeul,,97579,97579
Tataouine,32.9333,10.4500,Tunisia,TN,Tataouine,admin,95775,95775
La Marsa,36.8764,10.3253,Tunisia,TN,Tunis,,92987,92987
Ben Arous,36.7531,10.2189,Tunisia,TN,Ben Arous,admin,88322,88322
Sakiet ez Zit,34.8000,10.7700,Tunisia,TN,Sfax,,87512,87512
Zarzis,33.5000,11.1167,Tunisia,TN,Médenine,,80000,80000
Ben Gardane,33.1389,11.2167,Tunisia,TN,Médenine,,79912,79912
Mahdia,35.5047,11.0622,Tunisia,TN,Mahdia,admin,79545,79545
Houmt Souk,33.8667,10.8500,Tunisia,TN,Médenine,,75904,75904
Fouchana,36.6987,10.1693,Tunisia,TN,Ben Arous,,74868,74868
Le Kram,36.8333,10.3167,Tunisia,TN,Tunis,,74132,74132
Le Bardo,36.8092,10.1406,Tunisia,TN,Tunis,,73953,73953
El Kef,36.1667,8.7000,Tunisia,TN,Kef,admin,73706,73706
El Hamma,33.8864,9.7951,Tunisia,TN,Gabès,,73512,73512
Nabeul,36.4514,10.7361,Tunisia,TN,Nabeul,admin,73128,73128
Djemmal,35.6400,10.7600,Tunisia,TN,Monastir,,70587,70587
Korba,36.5667,10.8667,Tunisia,TN,Nabeul,,68966,68966
Menzel Temime,36.7833,10.9833,Tunisia,TN,Nabeul,,65645,65645
Ghardimaou,36.4503,8.4397,Tunisia,TN,Jendouba,,64170,64170
Menzel Bourguiba,37.1500,9.7833,Tunisia,TN,Bizerte,,61919,61919
Radès,36.7667,10.2833,Tunisia,TN,Ben Arous,,59998,59998
Manouba,36.8000,10.1000,Tunisia,TN,Manouba,admin,58792,58792
Kélibia,36.8475,11.0939,Tunisia,TN,Nabeul,,58491,58491
Rass el Djebel,37.2150,10.1200,Tunisia,TN,Bizerte,,58241,58241
Tebourba,36.8295,9.8411,Tunisia,TN,Manouba,,50458,50458
El Jem,35.3000,10.7167,Tunisia,TN,Mahdia,,48611,48611
Douz,33.4572,9.0258,Tunisia,TN,Kébili,,47182,47182
Hammam Sousse,35.8589,10.5939,Tunisia,TN,Sousse,,42691,42691
Hammam-Lif,36.7308,10.3275,Tunisia,TN,Ben Arous,,42518,42518
Sbiba,35.5433,9.0736,Tunisia,TN,Kasserine,,42091,42091
Sejenane,37.0564,9.2382,Tunisia,TN,Bizerte,,40166,40166
Tozeur,33.9197,8.1336,Tunisia,TN,Tozeur,admin,37365,37365
Dar Chabanne,36.4700,10.7500,Tunisia,TN,Nabeul,,35859,35859
Aïne Draham,36.7833,8.7000,Tunisia,TN,Jendouba,,35400,35400
Bou Salem,36.6111,8.9698,Tunisia,TN,Jendouba,,35192,35192
Ez Zahra,36.7439,10.3083,Tunisia,TN,Ben Arous,,34962,34962
Skhira,34.3006,10.0708,Tunisia,TN,Sfax,,34511,34511
Akouda,35.8712,10.5712,Tunisia,TN,Sousse,,34494,34494
Mateur,37.0400,9.6650,Tunisia,TN,Bizerte,,32546,32546
Rhennouch,33.9397,10.0650,Tunisia,TN,Gabès,,28051,28051
Dahmani,35.9424,8.8284,Tunisia,TN,Kef,,27907,27907
El Alia,37.1667,10.0333,Tunisia,TN,Bizerte,,27075,27075
Siliana,36.0819,9.3747,Tunisia,TN,Siliana,admin,26960,26960
Zaghouan,36.4028,10.1433,Tunisia,TN,Zaghouan,admin,20387,20387
